Nama_Ruas,Kecamatan,Panjang,Lebar,Kondisi,15 April,15,16 April,16,17 April,17,18 April,18,19 April,19,20 April,20,21 April,21,22 April,22,23 April,23,24 April,24,25 April,25,26 April,26,27 April,27,28 April,28,29 April,29
Jl. Gaharu Utara,banyumanik,234 M,3 M,Sedang,sedang,12 Menit,lancar,10 Menit,macet,12 Menit,macet,12 Menit,,14 Menit,sedang,15 Menit,sedang,15 Menit,sedang,15 Menit,sedang,15 Menit,sedang,15 Menit,sedang,16 Menit,sedang,16 Menit,sedang,14 Menit,sedang,16 Menit,sedang,14 Menit
Jl. Tanjung Sari 1,banyumanik,218 M,4 M,Sedang,sedang,12 Menit,lancar,10 Menit,macet,12 Menit,sedang,12 Menit,,12 Menit,macet,11 Menit,macet,12 Menit,macet,12 Menit,sedang,14 Menit,macet,12 Menit,macet,12 Menit,sedang,12 Menit,sedang,10 Menit,sedang,10 Menit,sedang,10 Menit
Jl. Tanjung Sari,banyumanik,401 M,3 M,Sedang,sedang,10 Menit,lancar,9 Menit,macet,10 Menit,sedang,12 Menit,sedang,12 Menit,macet,10 Menit,macet,10 Menit,macet,9 Menit,sedang,9 Menit,macet,10 Menit,macet,10 Menit,sedang,10 Menit,sedang,10 Menit,sedang,10 Menit,sedang,10 Menit
Jl. Ngesrep Timur 6,banyumanik,451 M,3 M,Sedang,lancar,6 Menit,lancar,5 Menit,lancar,6 Menit,lancar,6 Menit,sedang,10 Menit,macet,9 Menit,sedang,9 Menit,macet,9 Menit,sedang,7 Menit,macet,9 Menit,macet,9 Menit,sedang,9 Menit,sedang,9 Menit,sedang,9 Menit,sedang,8 Menit
Jl. Gombel Indah,banyumanik,321 M,4 M,Sedang,lancar,4 Menit,lancar,3 Menit,lancar,4 Menit,lancar,4 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit
Jl. Jatingaleh 1,banyumanik,569 M,4 M,Sedang,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,,4 Menit,,4 Menit,lancar,5 Menit,,5 Menit,lancar,6 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit
Jl. Jatingaleh 2,banyumanik,283 M,5 M,Baik,lancar,7 Menit,lancar,7 Menit,sedang,7 Menit,sedang,8 Menit,sedang,8 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,3 Menit
Jl. Ngesrep Barat 3,banyumanik,608 M,5 M,Sedang,lancar,7 Menit,lancar,7 Menit,sedang,7 Menit,sedang,8 Menit,sedang,8 Menit,sedang,8 Menit,lancar,7 Menit,lancar,7 Menit,lancar,6 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit
Jl. Jati Utara,banyumanik,169 M,5 M,Baik,sedang,14 Menit,sedang,14 Menit,sedang,16 Menit,sedang,16 Menit,sedang,16 Menit,sedang,15 Menit,sedang,14 Menit,sedang,15 Menit,,14 Menit,sedang,14 Menit,sedang,14 Menit,sedang,14 Menit,sedang,14 Menit,sedang,14 Menit,sedang,14 Menit
Jl. Durian Selatan,banyumanik,455 M,5 M,Baik,sedang,12 Menit,lancar,10 Menit,macet,12 Menit,macet,14 Menit,macet,14 Menit,macet,11 Menit,macet,11 Menit,macet,11 Menit,sedang,10 Menit,macet,11 Menit,macet,12 Menit,macet,12 Menit,sedang,12 Menit,sedang,12 Menit,sedang,10 Menit
