Kecamatan,Node_Awal,Node_Akhir,Nama_Ruas,Cost,Kondisi
banyumanik,A1,A2,Jl. Gombel Lama,1271.0,Baik
banyumanik,A2,A3,Jl. Gaharu Utara,234.0,Sedang
banyumanik,A2,A6,Jl. Tanjung Sari 1,218.0,Sedang
banyumanik,A2,A8,Jl. Tanjung Sari,401.0,Sedang
banyumanik,A2,A4,Jl. Ngesrep Timur 6,451.0,Sedang
banyumanik,A3,A5,Jl. Gombel Indah,321.0,Sedang
banyumanik,A6,A5,Jl. Jatingaleh 1,569.0,Sedang
banyumanik,A6,A11,Jl. Jatingaleh 2,283.0,Baik
banyumanik,A6,A7,Jl. Ngesrep Barat 3,608.0,Sedang
banyumanik,A7,A12,Jl. Jati Utara,169.0,Baik
banyumanik,A7 ,A13,Jl. Durian Selatan,455.0,Baik
banyumanik,A7,A14,Jl. Jati,1079.0,Sedang
banyumanik,A7,A8,Jl. Rumpun Diponegoro,708.0,Sedang
banyumanik,A8 ,A15,Jl. Rasamala,563.0,Baik
banyumanik,A8 ,A9,Jl. Durian Selatan 2,371.0,Sedang
banyumanik,A4,A9,Jl. Nusa Indah,496.0,Baik
banyumanik,A9,A16,Jl. Kalipepe 1,392.0,Baik
banyumanik,A16,A15,Jl. Kalipepe,475.0,Baik
banyumanik,A16,A17,Jl. Muteran,1091.0,Sedang
banyumanik,A17,A27,Jl. Setuk,517.0,Sedang
banyumanik,A27,A26,Jl. Potrosari Tengah,617.0,Sedang
banyumanik,A15,A14,Jl. Potrosari 3,261.0,Sedang
banyumanik,A15,A26,Jl. Potrosari Lapangan,444.0,Sedang
banyumanik,A26,A36,Jl. Nangka,437.0,Baik
banyumanik,A36,A37,Jl. Grafika,1139.0,Baik
banyumanik,A36,A50,Jl. Karangrejo,114.0,Baik
banyumanik,A36,A35,Jl. Durian,1896.0,Baik
banyumanik,A50,A49,Jl. Gaharu,654.0,Baik
banyumanik,A35,A49,Jl. Kruing,525.0,Rusak Ringan
banyumanik,A49,A60,Jl. Meranti,667.0,Baik
banyumanik,A49,A48,Jl. Sukun,682.0,Baik
banyumanik,A14,A25,Jl. Bumirejo,1575.0,Sedang
banyumanik,A25,A35,Jl. Payung Mas,811.0,Baik
banyumanik,A25,A24,Jl. Ngasem,1084.0,Sedang
banyumanik,A25,A34,Jl. Kyai Mojo 1,1766.0,Sedang
banyumanik,A48,A46,Jl. Kyai Mojo,829.0,Sedang
banyumanik,A34,A47,Jl. Gotong Royong,1376.0,Rusak Ringan
banyumanik,A47,A45,Jl. Kp. Pentul 1,219.0,Sedang
banyumanik,A47,A46,Jl. Potrosari BD,429.0,Sedang
banyumanik,A45,A32,Jl. Rasamala Timur,123.0,Sedang
banyumanik,A45,A44,Jl. Blimbing,458.0,Sedang
